Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14,Frame-15,Frame-16,Frame-17,Frame-18,Frame-19,Frame-20,Frame-21,Frame-22,Frame-23,Frame-24,Frame-25
Dog,TN,TN,TN,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Driveway(flat),FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,TN,TN,TN,TN
Elevator,TN,TN,TN,FP,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Escalator,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Fence,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TP,TP,TP,TP,TP,FP,FP,TP,TP,TP
Fire hydrant,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,FP,FP,TN,TN
Flush Door,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Foldout Sign,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP
Fountain,FP,TN,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Gate,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FP,FP,FP,FP,FP,FP,FP,TN,TP,TP
Guide dog,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Gutter,TN,TN,FP,TN,TN,FP,FP,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,FP,FP,FP,FP
Hose,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Lamp Post,TP,TP,TP,TP,TP,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,FP,TN,FP,FP,FP,FP,FP
Mail box,TN,TN,FP,TN,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP
Maintenance Vehicle,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Motorcycle,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Parallel Parking Spot,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN
Paratransit vehicle,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Pedestrian Crossing,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TP,TP
Person,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
Person with a disability,TP,FN,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,FN,TP,FN,TP,FN,FN
Pillar,TP,TP,TP,TP,TP,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,FP,FP,TN,TN,FP
Pole,FP,FP,FP,FP,FP,FP,FP,FP,TP,TP,TP,TP,TP,TP,TP,TP,FP,FP,FP,FP,FP,FP,FP,TN,FP,FP
Puddle,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Push button,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN
Railing,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TP,TP,TP,TP,TP,TP,TP,TN,FP,FP
Raised Entryway,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,FP,FP
Retaining Wall,TP,FN,TP,TP,TP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,FP,FP,FP
Road,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FP,FP,FP,FP,FP,FP,FP,FP,TP,TP
Road Divider,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP
Road Shoulder,FP,FP,FP,FP,FP,TP,TP,TP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP
Roadside Parking,FN,FN,FN,FN,FN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN
Sidewalk,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
Sidewalk pits,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,FP
Sign,TN,TN,TN,TN,TN,TN,FP,TN,TP,TP,TN,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Sign Post,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP,TN,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN
Sloped Driveway,TN,TN,FP,TN,TN,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
Slopped Curb,TN,TN,FP,FP,TN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FP,FP,FP,FP,TN,TN,FP,FP,FP,FP
Snow,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Stairs,TN,TN,FP,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP
Stop sign,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Street Vendor,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Table,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Tactile Paving,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
Traffic Signals,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Train Platform,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Train Tracks,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Trash bins,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN
Trash on roads,TN,TN,TN,TN,TN,FP,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Tree,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FP,FP
Turnstile,FP,FP,FP,FP,FP,TN,TN,TN,TN,FP,TN,TN,TN,FP,FP,FP,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN
Uncontrolled Crossing,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Uneven Stairs,TN,TN,FP,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP
Unpaved Road,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP
Unpaved Sidewalk,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP
Vegetation,FN,FN,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP
Wall,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,FP,FP,FP
Water leakage,TN,TN,TN,TN,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Water Pipes,FP,TN,FP,FP,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP
Wet surface,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Wheelchair,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
White Cane,TP,TP,TP,TP,TN,TP,TP,TP,FN,FN,TP,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TN,TN,TP,TP
Yard Waste,TN,TN,TN,TN,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
