Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14,Frame-15,Frame-16,Frame-17,Frame-18,Frame-19,Frame-20,Frame-21,Frame-22,Frame-23,Frame-24,Frame-25,Frame-26,Frame-27,Frame-28,Frame-29,Frame-30,Frame-31,Frame-32,Frame-33,Frame-34,Frame-35,Frame-36,Frame-37,Frame-38,Frame-39,Frame-40,Frame-41,Frame-42,Frame-43,Frame-44,Frame-45,Frame-46,Frame-47
Chair,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FN,FN,FN,TN,TN,FN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Closed Sidewalk,FP,FP,FP,FP,TN,TN,TN,FP,TN,FP,FP,FP,FP,FP,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP
Counter,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Crosswalk,TP,TP,TP,FP,TN,FP,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TP,TP,TP,TP,TP,TP
Curb,TP,TP,TP,FP,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TP,TP,TP,TP,TP,TP
Dog,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Driveway(flat),FP,TN,TN,FP,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,FP,FP,FP,FP,TN,TN,FP,FP,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Elevator,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP,TN,TN
Escalator,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Fence,FP,FP,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Fire hydrant,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,TN,TN,TN,FP,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN
Flush Door,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Foldout Sign,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP
Fountain,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Gate,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Guide dog,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Gutter,TN,TN,TN,FP,FP,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Hose,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Lamp Post,TP,TP,TP,TP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TP,TP,TP,FP,FP,TP,FP,FP,TP,FP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TP,TP,TP,TP,FP,FP
Mail box,FP,FP,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,TN,TN,FP,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP
Maintenance Vehicle,TP,TP,TP,TP,TN,FP,FP,TN,TN,FP,FP,TN,TN,FP,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP
Motorcycle,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,FN,FN,TP,TN,TN,TP,TN,TN,TP,TN,TN,TN,TN,FP,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FN,FN,FN,FN,TP,TP
Parallel Parking Spot,FP,FP,FP,FP,TN,FP,FP,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP
Paratransit vehicle,TN,TN,TN,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Pedestrian Crossing,TP,TP,TP,FP,TN,TN,FP,FP,FP,FP,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,FP,TN,TN,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TP,TP,TP,TP,TP,TP
Person,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
Person with a disability,TN,TN,TN,TN,FN,FN,FN,TP,FN,FN,FN,FN,FN,FN,TP,TP,TP,FN,FN,TP,FN,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,FN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FN,FN,FN,FN,TP,TP
Pillar,TP,FN,TP,FP,FP,TN,TN,FP,FP,FP,FP,FP,FP,FP,TN,TN,FP,TN,FP,TN,TN,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,TN,FP,FP
Pole,TP,TP,TP,FP,TN,TN,FP,FP,TN,TP,TP,TP,TP,TP,TP,TP,TP,TN,FP,FN,TN,FP,TP,FP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TP,TP,TP,TP,FP,FP
Puddle,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP
Push button,FP,FP,FP,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,TN,TN,FP,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,FP,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN
Railing,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Raised Entryway,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP
Retaining Wall,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,TN,TN,TN,TN,TN,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Road,TP,TP,TP,TP,TN,FP,FP,TN,TN,FP,FP,FP,FP,FP,TP,TP,TP,TP,TN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TP,TP,TP,TP,TP,TP
Road Divider,TP,TP,TP,FP,TN,FP,FP,FP,FP,TP,TP,TP,TP,TP,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP
Road Shoulder,FP,FP,FP,FP,FP,FP,FP,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP
Roadside Parking,FP,FP,FP,FP,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,TN,TN,FP,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Sidewalk,TP,TP,TP,FP,TN,TN,FP,TP,TP,TP,FP,FP,FP,FP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TP,TP,TP,TP,TP,TP
Sidewalk pits,FP,FP,FP,FP,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,TN,FP,FP
Sign,FP,FP,FP,FP,FP,FP,FP,TN,TN,FP,FP,FP,FP,FP,TP,TP,TP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TP,TP,TP,TP,FP,FP
Sign Post,FP,FP,FP,FP,TN,FP,FP,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TP,TP,TP,TP,TN,FP
Sloped Driveway,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,FP,FP,TN,FP,FP,FP,TN,FP,FP,FP,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Slopped Curb,FP,FP,FP,FP,TN,TN,TN,FP,FP,FP,TN,TN,FP,TN,TN,TN,FP,FP,FP,FP,FP,TN,FP,FP,FP,TN,FP,FP,FP,TN,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FN,FN,FN,FN,FN,FN
Snow,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Stairs,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Stop sign,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Street Vendor,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FN,FN,TN,TN,FN,FN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FN,FN,FN,FN,FP,FP
Table,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Tactile Paving,FP,FP,FP,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TP,TP,TP,TP,TP,FP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,TP,TP
Traffic Signals,TN,TN,TN,FP,TN,TN,TN,TN,TN,FP,TN,FP,FP,FP,TP,FN,FP,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TP,FN,FN,FN,TN,TN
Train Platform,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Train Tracks,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Trash bins,FP,FP,FP,FP,FP,FP,FP,TN,FP,FP,FP,TN,TN,FP,TN,TN,FP,FP,FP,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP
Trash on roads,FP,TN,TN,FP,TN,FP,FP,TN,TN,TN,FP,TN,TN,FP,TN,TN,FP,TN,FP,FP,TN,FP,FP,FP,FP,FP,TN,FP,FP,FP,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Tree,TP,TP,TP,TP,TP,TP,TP,TN,FP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TP,TP,TP,TP,FN,FN
Turnstile,FP,FP,FP,FP,TN,TN,FP,TN,TN,FP,FP,FP,FP,FP,TN,TN,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP
Uncontrolled Crossing,FP,FP,TN,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Uneven Stairs,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,FP,FP,TN,TN,TN,TN,FP,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Unpaved Road,FP,FP,FP,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,FP,TN
Unpaved Sidewalk,FP,FP,FP,FP,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,TN,FP,TN
Vegetation,TP,TP,TP,TP,TP,TP,TP,TN,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,FN,FN,TP,TP,FN,FN,FN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TP,TP,TP,TP,FN,FN
Wall,FP,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
Water leakage,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Water Pipes,TN,TN,TN,FP,FP,TN,TN,FP,TN,FP,TN,FP,FP,FP,TN,TN,FP,TN,FP,TN,FP,FP,TN,TN,TN,TN,FP,FP,TN,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN
Wet surface,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,FP,FP,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Wheelchair,FP,FP,FP,TN,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
White Cane,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
Yard Waste,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN
